"country","countryCode","month","year","indicatorName","indicatorCode","strata","type","estimate","LCL","UCL"
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 1","Low Income Area",797.7941,179.9632,3272.0588
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 2","Low Income Area",701.875,274.9266,1382.6828
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 3","Low Income Area",1.0938,0.1562,188.4453
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 4","Low Income Area",485.303,242.8788,788.3485
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 5","Low Income Area",0,0,151.5152
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 6","Low Income Area",1272.7273,0,3796.2121
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 7","Low Income Area",30.303,0,121.2121
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 8","Low Income Area",93.1034,0,865.6897
"Bangladesh","BGD","Mar",2017,"Household mean amount of initial investment in sanitation facility","san17","Survey Area 9","Low Income Area",0,0,270.2703
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 1","Low Income Area",666.6667,0,2000
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 2","Low Income Area",337.5,100,593.6667
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 3","Low Income Area",NA,NA,NA
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 4","Low Income Area",100,0,500
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 5","Low Income Area",NA,NA,NA
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 6","Low Income Area",2666.6667,750,6840
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 7","Low Income Area",10,10,10
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 8","Low Income Area",400,0,1200
"Bangladesh","BGD","Mar",2017,"Household mean cost of sanitation facility emptying","san34","Survey Area 9","Low Income Area",2000,2000,2000
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 1","Low Income Area",6.8824,6.6307,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 2","Low Income Area",6.859,6.653,6.9756
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 3","Low Income Area",7,7,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 4","Low Income Area",7,7,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 5","Low Income Area",6.9394,6.7417,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 6","Low Income Area",7,6.9091,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 7","Low Income Area",7,7,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 8","Low Income Area",7,6.9483,7
"Bangladesh","BGD","Mar",2017,"Household mean number of days per week drinking water is available from source","water5","Survey Area 9","Low Income Area",7,6.9459,7
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 1","Low Income Area",16.6471,14.0721,18.6471
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 2","Low Income Area",12.057,10.0601,14.3017
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 3","Low Income Area",16.2969,13.8281,18.425
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 4","Low Income Area",20.3333,18.147,22.2758
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 5","Low Income Area",20.1515,17.847,22.2727
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 6","Low Income Area",16.1304,14.3187,18
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 7","Low Income Area",13.9062,12.1203,15.6151
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 8","Low Income Area",19.8621,18.069,21.3793
"Bangladesh","BGD","Mar",2017,"Household mean number of hours per day drinking water is available from source","water4","Survey Area 9","Low Income Area",17.8378,16.297,19.1764
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 1","Low Income Area",0.3676,0,1.4853
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 2","Low Income Area",1.375,0.2484,2.9688
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 3","Low Income Area",0.3125,0,1.1266
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 4","Low Income Area",10,4.5379,16.1402
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 5","Low Income Area",0,0,1.5152
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 6","Low Income Area",3.3182,0.7106,7.0318
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 7","Low Income Area",3.0303,0.7538,5.6818
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 8","Low Income Area",2.5,0.2707,6.2931
"Bangladesh","BGD","Mar",2017,"Household mean number of minutes to collect water from source","water7","Survey Area 9","Low Income Area",0.2297,0,1.4642
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 1","Low Income Area",0.7308,0.4441,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 2","Low Income Area",1,0.8854,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 3","Low Income Area",1,1,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 4","Low Income Area",1,1,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 5","Low Income Area",1,0.9,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 6","Low Income Area",0.9231,0.6955,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 7","Low Income Area",1,1,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 8","Low Income Area",1,1,1
"Bangladesh","BGD","Mar",2017,"Household satisfied with pit emptying service","san37","Survey Area 9","Low Income Area",1,1,1
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 1","Low Income Area",0.9412,0.8529,1
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 2","Low Income Area",0.8625,0.7997,0.925
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 3","Low Income Area",0.8906,0.7812,0.9688
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 4","Low Income Area",0.7727,0.6364,0.8939
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 5","Low Income Area",0.8182,0.697,0.925
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 6","Low Income Area",0.9697,0.8636,1
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 7","Low Income Area",0.9697,0.9091,1
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 8","Low Income Area",0.9123,0.7931,1
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 9","Low Income Area",0.9459,0.8784,1
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 1","Low Income Area",0.2353,0.1176,0.3971
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 2","Low Income Area",0.225,0.1562,0.3
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 3","Low Income Area",0.25,0.1406,0.3906
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 4","Low Income Area",0.2424,0.1212,0.3795
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 5","Low Income Area",0.197,0.0909,0.3333
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 6","Low Income Area",0.3485,0.2273,0.4856
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 7","Low Income Area",0.3182,0.1818,0.4545
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 8","Low Income Area",0.1207,0.0345,0.2414
"Bangladesh","BGD","Mar",2017,"Households practicing sanitary disposal of child's faeces","san12","Survey Area 9","Low Income Area",0.1216,0.0405,0.2297
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 1","Low Income Area",0.1765,0.0735,0.2941
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 2","Low Income Area",0.1875,0.1125,0.2756
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 3","Low Income Area",0.2656,0.125,0.4062
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 4","Low Income Area",0.1515,0.0598,0.2879
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 5","Low Income Area",0.2121,0.0902,0.3333
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 6","Low Income Area",0.2879,0.1515,0.4545
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 7","Low Income Area",0.2576,0.1212,0.3947
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 8","Low Income Area",0.2759,0.1371,0.431
"Bangladesh","BGD","Mar",2017,"Households relying on formal operators to maintain facility","san25","Survey Area 9","Low Income Area",0.2162,0.1081,0.4054
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 1","Low Income Area",0.0294,0,0.1176
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 2","Low Income Area",0.0562,0.0125,0.1125
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 3","Low Income Area",0.0156,0,0.0938
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 4","Low Income Area",0.1515,0.0606,0.303
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 5","Low Income Area",0.1212,0.0455,0.2273
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 6","Low Income Area",0.1364,0.0303,0.2424
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 7","Low Income Area",0.197,0.0758,0.3333
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 8","Low Income Area",0.1724,0.069,0.3448
"Bangladesh","BGD","Mar",2017,"Households relying on formal pit emptier","san35","Survey Area 9","Low Income Area",0.0811,0,0.1892
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 1","Low Income Area",0.3382,0.1765,0.5
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 2","Low Income Area",0.325,0.2375,0.4312
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 3","Low Income Area",0.3281,0.1867,0.4844
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 4","Low Income Area",0.1061,0.0303,0.2273
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 5","Low Income Area",0.0909,0,0.1818
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 6","Low Income Area",0.2879,0.1667,0.4394
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 7","Low Income Area",0.2576,0.1364,0.4091
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 8","Low Income Area",0.3276,0.206,0.5172
"Bangladesh","BGD","Mar",2017,"Households relying on formal provider for service supply maintenance","water17","Survey Area 9","Low Income Area",0.2432,0.1081,0.3784
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 1","Low Income Area",0.7937,0.6449,0.9078
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 2","Low Income Area",0.9812,0.9497,1
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 3","Low Income Area",0.9032,0.7969,0.9688
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 4","Low Income Area",0.9394,0.8485,1
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 5","Low Income Area",0.8636,0.7424,0.9394
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 6","Low Income Area",0.6515,0.4848,0.7886
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 7","Low Income Area",0.9091,0.7576,1
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 8","Low Income Area",1,0.931,1
"Bangladesh","BGD","Mar",2017,"Households safely storing drinking water","water18","Survey Area 9","Low Income Area",1,0.9595,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 1","Low Income Area",0.8276,0.6863,0.9345
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 2","Low Income Area",0.8875,0.8302,0.9438
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 3","Low Income Area",0.8776,0.75,0.9796
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 4","Low Income Area",0.9697,0.9062,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 5","Low Income Area",0.9219,0.8182,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 6","Low Income Area",0.9231,0.8113,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 7","Low Income Area",0.9394,0.8333,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 8","Low Income Area",1,0.9655,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with amount of spending on sanitation facility","san15","Survey Area 9","Low Income Area",0.9595,0.8919,1
"Bangladesh","BGD","Mar",2017,"Households satisfied with cleanliness of sanitation facility","san19","Survey Area 1","Low Income Area",0.6029,0.4699,0.75
"Bangladesh","BGD","Mar",2017,"Households satisfied with cleanliness of sanitation facility","san19","Survey Area 2","Low Income Area",0.5312,0.4312,0.6438
"Bangladesh","BGD","Mar",2017,"Households satisfied with cleanliness of sanitation facility","san19","Survey Area 3","Low Income Area",0.4531,0.2812,0.625
"Bangladesh","BGD","Mar",2017,"Households satisfied with cleanliness of sanitation facility","san19","Survey Area 4","Low Income Area",0.5,0.3333,0.6818
"Bangladesh","BGD","Mar",2017,"Households satisfied with cleanliness of sanitation facility","san19","Survey Area 5","Low Income Area",0.7273,0.5758,0.8485
