country,countryCode,indicatorName,indicatorCode,surveyArea,slumTotal,slumCases,slumClass,otherTotal,otherCases,otherClass,total,slumEst,slumLCL,slumUCL,otherEst,otherLCL,otherUCL,totalEst,totalLCL,totalUCL
Bangladesh,BGD,Households with appropriate / acceptable sanitation facilities,acceptSan,Survey Area 1,68,0,Low,66,9,Low,134,0,0,0,0.1364,0.0455,0.2424,0.0896,0.0299,0.1567
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Survey Area 1,68,64,High,66,62,High,134,0.9412,0.8529,1,0.9242,0.8477,0.9848,0.9254,0.8657,0.9776
Bangladesh,BGD,Households with access to sufficient and sustained drinking water,accessWater,Survey Area 1,68,0,Low,66,6,Low,134,0,0,0,0.0758,0.0152,0.1674,0.0522,0.0149,0.1049
Bangladesh,BGD,Households with adequate sanitation facility,adequateSan,Survey Area 1,68,56,High,66,56,High,134,0.8971,0.7941,0.9706,0.8788,0.7576,0.9705,0.8806,0.791,0.9403
Bangladesh,BGD,Mean likelihood of household being below the USAID extreme poverty line,extreme,Survey Area 1,68,6.54,Low,66,1.302,Low,134,0.0922,0.0726,0.1166,0.0177,0.0069,0.0359,0.0409,0.0276,0.0565
Bangladesh,BGD,Households using open defecation,jmpSan1,Survey Area 1,68,0,Low,66,0,Low,134,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved sanitation facility,jmpSan2,Survey Area 1,68,9,Low,66,10,Low,134,0.0882,0.0147,0.1919,0.1212,0.0303,0.2576,0.1119,0.0444,0.194
Bangladesh,BGD,Households using shared improved sanitation facility,jmpSan3,Survey Area 1,68,50,Moderate,66,10,Low,134,0.7647,0.6324,0.8971,0.1515,0.0758,0.2576,0.3507,0.2463,0.4627
Bangladesh,BGD,Households using improved sanitation facility not shared with others,jmpSan4,Survey Area 1,68,6,Low,66,46,Moderate,134,0.1176,0.0294,0.2059,0.7273,0.5758,0.8485,0.5224,0.4179,0.6347
Bangladesh,BGD,Households using safely managed sanitaion facility,jmpSan5,Survey Area 1,68,4,Low,66,45,Moderate,134,0.0735,0.0147,0.1765,0.7121,0.575,0.8333,0.5075,0.403,0.6194
Bangladesh,BGD,Households using surface water as source of drinking water,jmpWater1,Survey Area 1,68,0,Low,66,0,Low,134,0,0,0,0,0,0,0,0,0
Bangladesh,BGD,Households using unimproved source of drinking water,jmpWater2,Survey Area 1,68,1,Low,66,8,Low,134,0,0,0.0441,0.1212,0.0303,0.2273,0.0896,0.0373,0.1567
Bangladesh,BGD,Households using improved source of drinking water that takes more than 30 minutes to collect from,jmpWater3,Survey Area 1,68,67,High,66,58,High,134,0,0,0,0,0,0,0,0,0
