country,countryCode,indicatorName,indicatorCode,wealthQuintile,slumTotal,slumCases,slumClass,otherTotal,otherCases,otherClass,total,slumEst,slumLCL,slumUCL,otherEst,otherLCL,otherUCL,totalEst,totalLCL,totalUCL
Bangladesh,BGD,Household acceptble sanitation score,acceptScore,Wealth Quintile 1,231,0,NA,37,0,NA,268,2.3547,2.2116,2.4786,2.2258,1.6111,2.7101,2.3271,2.1886,2.468
Bangladesh,BGD,Household acceptble sanitation score,acceptScore,Wealth Quintile 2,212,0,NA,39,0,NA,251,2.2249,2.0926,2.3621,3.1282,2.7689,3.4474,2.431,2.3047,2.5618
Bangladesh,BGD,Household acceptble sanitation score,acceptScore,Wealth Quintile 3,167,0,NA,94,0,NA,261,2.5,2.3488,2.6546,3.5918,3.3848,3.7753,3.1595,3.0194,3.2836
Bangladesh,BGD,Household acceptble sanitation score,acceptScore,Wealth Quintile 4,61,0,NA,193,0,NA,254,2.5439,2.2542,2.8277,3.9735,3.8756,4.0754,3.8431,3.7372,3.9458
Bangladesh,BGD,Household acceptble sanitation score,acceptScore,Wealth Quintile 5,17,0,NA,231,0,NA,248,1.8667,1.4,2.3343,4.1681,4.0969,4.2511,4.0595,3.9392,4.164
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Wealth Quintile 1,231,191,High,37,22,Moderate,268,0.8428,0.7946,0.89,0.6667,0.4857,0.8125,0.8212,0.7697,0.8658
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Wealth Quintile 2,212,198,High,39,32,High,251,0.9245,0.8837,0.9621,0.7805,0.65,0.8974,0.8902,0.8452,0.9269
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Wealth Quintile 3,167,155,High,94,80,High,261,0.9107,0.8562,0.951,0.8384,0.7582,0.9093,0.864,0.8191,0.9035
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Wealth Quintile 4,61,59,High,193,176,High,254,0.8438,0.733,0.9298,0.9368,0.8951,0.9672,0.9262,0.8898,0.9598
Bangladesh,BGD,Households in which every member is able to use and actually use sanitation facility,accessSan,Wealth Quintile 5,17,16,High,231,228,High,248,0.5333,0.2667,0.7507,0.9911,0.9711,1,0.9676,0.9396,0.9877
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Wealth Quintile 1,231,85,Low,37,11,Low,268,0.3278,0.2619,0.4028,0.2727,0.1425,0.4375,0.3244,0.2642,0.3869
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Wealth Quintile 2,212,59,Low,39,10,Low,251,0.1651,0.1152,0.2266,0.275,0.1701,0.4103,0.1903,0.1446,0.2417
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Wealth Quintile 3,167,19,Low,94,40,Low,261,0.1728,0.1158,0.2399,0.4301,0.3333,0.5437,0.3294,0.2689,0.3865
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Wealth Quintile 4,61,4,Low,193,70,Low,254,0.0172,0,0.0667,0.2917,0.2302,0.3544,0.2677,0.2103,0.3198
Bangladesh,BGD,Households practicing sanitary disposal of child's faeces,san12,Wealth Quintile 5,17,1,Low,231,16,Low,248,0,0,0.0625,0.0533,0.0257,0.0933,0.0498,0.0208,0.0865
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Wealth Quintile 1,231,70,Low,37,2,Low,268,0.2008,0.1435,0.2659,0.0909,0,0.2121,0.1896,0.1353,0.2538
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Wealth Quintile 2,212,60,Low,39,3,Low,251,0.2207,0.1586,0.2823,0.0789,0.0226,0.2051,0.1888,0.1365,0.2501
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Wealth Quintile 3,167,35,Low,94,9,Low,261,0.1265,0.0764,0.1791,0.134,0.0745,0.2198,0.1328,0.0858,0.1776
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Wealth Quintile 4,61,18,Low,193,23,Low,254,0.2833,0.1578,0.4032,0.2,0.1346,0.2643,0.2072,0.1517,0.266
Bangladesh,BGD,Households relying on formal operators to maintain facility,san25,Wealth Quintile 5,17,2,Low,231,50,Low,248,0.3125,0.1089,0.5625,0.2423,0.1719,0.3176,0.2469,0.1889,0.313
