"country","countryCode","month","year","indicatorName","indicatorCode","strata","type","estimate","LCL","UCL"
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 1","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 2","Slum",0,0,0.025
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 3","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 4","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 5","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 6","Slum",0.0152,0,0.0606
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 7","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 8","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 9","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 1","Slum",0.0082,0,0.0254
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 2","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 3","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 4","Slum",0,0,0.0339
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 5","Slum",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Overall","Slum",0.0029,0,0.0087
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 1","Citywide",0.0896,0.0299,0.1567
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 2","Citywide",0.0133,0,0.0398
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 3","Citywide",0.0308,0,0.0769
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 4","Citywide",0.3485,0.25,0.4398
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 5","Citywide",0.197,0.1061,0.2955
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 6","Citywide",0,0,0.0303
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 7","Citywide",0.0682,0.0227,0.1288
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 8","Citywide",0.0714,0.0317,0.1353
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Survey Area 9","Citywide",0,0,0
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 1","Citywide",0.0072,0,0.0226
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 2","Citywide",0,0,0.0081
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 3","Citywide",0.0154,0.0038,0.0313
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 4","Citywide",0.1221,0.0826,0.1693
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Wealth Quintile 5","Citywide",0.2167,0.1547,0.2749
"Bangladesh","BGD","Mar",2017,"Households with appropriate / acceptable sanitation facilities","acceptSan","Overall","Citywide",0.0928,0.0725,0.1163
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 1","Slum",2.3547,2.2116,2.4786
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 2","Slum",2.2249,2.0926,2.3621
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 3","Slum",2.5,2.3488,2.6546
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 4","Slum",2.5439,2.2542,2.8277
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 5","Slum",1.8667,1.4,2.3343
"Bangladesh","BGD","Mar",2017,"Household acceptable sanitation score","acceptScore","Overall","Slum",2.3241,2.2352,2.4158
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 1","Citywide",2.3271,2.1886,2.468
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 2","Citywide",2.431,2.3047,2.5618
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 3","Citywide",3.1595,3.0194,3.2836
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 4","Citywide",3.8431,3.7372,3.9458
"Bangladesh","BGD","Mar",2017,"Household acceptble sanitation score","acceptScore","Wealth Quintile 5","Citywide",4.0595,3.9392,4.164
"Bangladesh","BGD","Mar",2017,"Household acceptable sanitation score","acceptScore","Overall","Citywide",3.3159,3.2293,3.4089
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 1","Slum",0.9412,0.8529,1
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 2","Slum",0.8625,0.7997,0.925
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 3","Slum",0.8906,0.7812,0.9688
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 4","Slum",0.7727,0.6364,0.8939
"Bangladesh","BGD","Mar",2017,"Households in which every member is able to use and actually use sanitation facility","accessSan","Survey Area 5","Slum",0.8182,0.697,0.925
